stage,Tmin,Tmax,rmax,alpha,beta,sigma2
eggs,4.02618244261518,34.00000000119354,0.20566440054804447,0.7352906295635031,0.18510701883058917,0.0007192939128686216
i1,1.4310317976518547e-07,36.69176345482616,0.29418251377069393,0.7654634837711825,0.1807897552659925,0.000296395300888168
i2,0.003357649157937665,35.09973257398369,0.35635155389757533,0.8093356299708381,0.1936468754843881,0.00012380158073905506
i3,4.869660577856601,34.0,0.3451424665494608,0.8723728345584687,0.23489509064397712,0.0003717540620428399
i4,1.617976606733782,34.00000000000867,0.3000478683320016,0.8424984845036994,0.21208678088335498,0.00038186382082560613
i5,0.0,34.000000195778824,0.17705588276838952,0.8333104601016625,0.20485402545986015,0.00011314762011249772
pupae,3.4760957325352138,34.000000000060595,0.13546883928409076,0.8666602308942083,0.18623556245847428,2.2185250185810198e-05
