species,strain,Tmin,Tmax,c,a,b,sigma2
Arthrobacter sp,55,-7.211288617411797,34.47169298119411,0.9147434870900855,3.2838596027479,1.5264275786041002,4.623851994259725e-05
Arthrobacter sp,60,-19.999889433188116,34.311217028027016,0.8833920614287156,4.680712310446019,1.5071541028756608,3.0226354922278245e-05
Pseudomonas,76,-19.99988379623401,35.073102221518546,1.7729860118070788,4.899461463755195,2.018363330491291,0.00029114380688715627
Arthrobacter glacialis,137,-16.47421174401623,16.421452565328128,0.09203208393967438,3.397095554288092,1.2320298793684339,3.8826834997265467e-07
Arthrobacter glacialis,158,-4.71191766741889,22.32569061402412,0.11847153852833812,2.0912818151478323,1.5896545271818738,5.522283535285167e-07
