species,strain,Tmin,Tmax,c,kI,kU,sigma2
Arthrobacter sp,55,-6.213074060100239e-06,34.47489359703074,0.9991789628599437,0.016450477774638907,0.9111269756760842,0.000707374633767795
Arthrobacter sp,60,3.1715102001124205,34.61367742366275,0.9999999832601034,0.017504971087525162,0.6462270187434602,0.00032520646321089995
Pseudomonas,76,1.8670487337772728,34.73709634591505,0.9999997316575256,0.029058735706531613,0.34907747639760567,0.0010360187131136132
Arthrobacter glacialis,137,-3.713750283866461,19.852881965970326,0.14468294973209772,0.03080291231813081,0.30249652147572603,6.596112032724522e-06
Arthrobacter glacialis,158,-2.282049407626544,22.70437711364869,0.07331115361857826,0.09602894829034825,0.32458953315723293,1.1719214710276033e-06
