species,strain,Tmin,Tmax,c,m,sigma2
Arthrobacter sp,55,-6.230668522840367,34.28021329189928,0.00019192576838542307,2.4281403359635623,7.219475699774179e-05
Arthrobacter sp,60,-6.856295943490123,34.091827443924345,0.00020816313163043995,3.1989433303164074,0.00011216359013939417
Pseudomonas,76,-6.975957070773361,34.33865999901821,0.00018171760203219853,1.8397541542676938,0.0006744348942793848
Arthrobacter glacialis,137,-2.796097773559765,30.313506469535653,9.079353546543682e-08,0.3595834877574653,5.478691357972619e-05
Arthrobacter glacialis,158,-12.848004966321767,49.99997572602503,8.232485119804362e-12,0.2148090979269375,1.591438350125025e-05
