stage,Tmin,Tmax,c,kI,kU,sigma2
eggs,7.999792115331687,34.00000000174339,0.19050712360066907,0.09274215511126949,0.46332996571624807,0.0018206475683842963
i1,7.999999995140628,37.29326859557587,0.35599232912257933,0.06077336729509837,0.300705189637021,0.0016526994234949016
i2,7.9999997850886615,34.87811883624883,0.9998913736615394,0.020857779484857175,0.5214673778121246,0.0005423373600647484
i3,7.999793127438406,34.00000010028849,0.9872092250007016,0.020145357279955332,0.7756539508527693,0.00019874303721185852
i4,7.999999996031255,34.37495761403122,0.35274606240007855,0.06591856027365203,0.45075790817100003,0.0017948010563143195
i5,7.999999933186503,34.12947338880956,0.3369811723728734,0.03750759763556964,0.43347295873159025,0.00020616311917851725
pupae,5.926040040004427,34.05471896680082,0.3407831170044211,0.01768856990195469,0.8100926738122203,0.0003882254195538029
