stage,Tmin,Tmax,c,a,b,sigma2
eggs,7.367645958919941,34.00000013265635,0.810781778442544,3.3082397930081417,2.525970701288439,0.0006955248181640591
i1,7.992702626649772,35.30739389478442,0.757608510193599,2.7241600167661404,1.7601792184284824,0.0003607990858017411
i2,2.0461038941825773,35.2485250770366,1.0581606957010106,3.4578692126664556,1.867676525539148,0.00012429028195290145
i3,7.999998985233832,34.000000010125675,0.6933896142031355,2.1898235825838963,1.4513968580406447,0.012096190570515
i4,6.646685622661743,32.740464995057465,0.527852381901491,2.511081134177762,1.2475553556915997,0.0003039408237038644
i5,7.999706719035617,34.295523754273376,0.5971651711681408,2.9541222681873003,2.018886744075474,0.0003623946803316448
pupae,7.999999955475172,35.04465921987812,0.5381860632403243,3.7609947497033365,2.441363154758192,0.00022010480117588593
