species,strain,Tmin,Tmax,rmax,alpha,beta,sigma2
Arthrobacter sp,55,-6.240614685583466,34.37255474519064,0.3947165647415969,0.8408402554494767,0.21343842909854766,3.83775391540201e-05
Arthrobacter sp,60,-20.0,34.262541001722354,0.36980841120609464,0.9001369369610186,0.1386197639905446,3.369385193285547e-05
Pseudomonas,76,-19.990777148221714,34.82187652508432,0.5078794281729689,0.8481496849399207,0.15104491035841006,0.00032616722477278885
Arthrobacter glacialis,137,-19.99999187972311,16.496879718398855,0.05440719458021476,0.9237732545062641,0.14530086856247634,3.457755512104068e-07
Arthrobacter glacialis,158,-5.551257892307546,23.32678574143263,0.05494589417520765,0.6702607352632055,0.31577132248527395,6.822183637553152e-07
