species,strain,Tmin,Tmax,c,sigma2
Arthrobacter sp,55,-2.1462751231414927,34.51098908824103,0.00018276682106545413,0.00011392303899572883
Arthrobacter sp,60,0.8557448944913639,34.50120902028371,0.0001848848003529754,0.0003760024790776721
Pseudomonas,76,-9.568664795274254,34.258431111056794,0.00018412880904131683,0.0006982525060320254
Arthrobacter glacialis,137,-19.999998141400553,17.515577719636433,6.008830738620495e-05,5.202733600326748e-05
Arthrobacter glacialis,158,-19.99999946974299,20.805111065455264,4.710388719467162e-05,7.432545591927489e-05
