stage,Tmin,Tmax,c,m,sigma2
eggs,7.9997888004309905,34.00000002743124,0.00012908832527845496,1.9216269150313803,0.001681813895186656
i1,7.999999977198112,35.380623598030795,0.00014869303977743198,1.6865389008002512,0.0005601230241113551
i2,7.903775918803581,34.40402845032433,0.0002635509428918931,2.1882305773662925,0.00018456784295239962
i3,7.9999999943409845,36.023215594348656,7.403591170885993e-05,1.0699025875932517,0.0027041695623256177
i4,7.985833910260418,34.00000035409441,0.0002650086244116012,2.4872364667584597,0.00031347747478413783
i5,7.9803089260323485,34.001154169065586,0.00010279167758759417,1.661609239977305,0.0001323857891484637
pupae,6.648103358005304,34.000000000002956,9.769396816105614e-05,2.628213064366409,0.00015751814623424958
