stage,Tmin,Tmax,c,sigma2
eggs,7.999988416562616,32.08560060109849,0.00016497530296469444,0.00044777315878499345
i1,7.999999760639593,34.77323725176421,0.00019131743576574726,0.0004840401759595967
i2,7.999999549816214,34.55605921010761,0.00024022976213027342,0.00019973392035875818
i3,0.08644008636650008,34.00000544827965,0.00015791225568140792,0.0017121774958762347
i4,7.999989673133012,34.000449228310146,0.00021936696016129777,0.0004570027058995389
i5,7.999996031278015,34.00000728513474,0.0001038337367780892,0.0004726224677135737
pupae,9.999989077625031,34.06503169181323,9.829234786494392e-05,0.00016828808505349306
